idx,fx1_R,fx0d5_R,fx1d5_R,fx2d5_R,fx3_R,fx5_R,fx7_R,fx1_S,fx0d5_S,fx1d5_S,fx2d5_S,fx3_S,fx5_S,fx7_S,fx1_T,fx0d5_T,fx1d5_T,fx2d5_T,fx3_T,fx5_T,fx7_T,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
634.0,3.41799172642179,0.008815289864851441,0.0128182563199456,0.0030072445584806103,0.0491111754341544,0.0477397286122233,0.0190168044906193,3.0947779464373397,0.0132622183748348,0.0103714645661642,0.00216292134554518,0.0101502424232188,0.0512027366963544,0.0160674958072304,3.36399361081119,0.013979034984155002,0.0109028457102817,0.00340584522624274,0.0623693905847356,0.0561866428848883,0.0190513438369702,45.0,43.78,344.0,0.42,2.5993153832648197,2.35487011055382,2.54227812186532,0.0,4.0
603.0,1.80831329113262,0.005473188654479971,0.00556706912875526,0.00194316212796178,0.0388055431482648,0.0469281161157071,0.0186180605952179,1.71080962118411,0.00847833169668022,0.007774409144448709,0.00327573121447393,0.00600771039434016,0.0475382514073768,0.0160082338308544,1.79928030318933,0.00510303761802414,0.00672897409105111,0.00223239754039664,0.0354025795850943,0.0430346925517507,0.014498238878878002,57.5,56.75,304.0,0.27,1.94730036667696,1.83204329466391,1.9119636923998702,0.0,3.0
641.0,3.02676098147403,0.0103184001296854,0.00879320391419528,0.0027663550508866897,0.0425751801474899,0.0408421818275505,0.0155323393168678,2.71880453325315,0.0126231718353445,0.00483155131328016,0.0018303913100084699,0.0171317002578909,0.0495572955927115,0.0127490367294164,2.8965306211894397,0.009837096805862741,0.0070709564524395405,0.0040509583139852895,0.0635154104382975,0.0489686900505142,0.0141375465793548,45.0,43.92,327.0,0.35,2.33598674470011,2.1206144197737897,2.26591975962299,0.0,4.0
6.0,1.0,0.00521283273002257,0.00588890046630159,0.0013365014974962301,0.0232578509710812,0.020943655579841,0.00721373591564769,1.0,0.0052303834787015705,0.00590872742362643,0.00134100127777051,0.0233361563221921,0.0210141694164704,0.00723802337558535,1.0,0.00509100131787251,0.00575126837699847,0.00130526553171455,0.0227142814812982,0.0204541721709104,0.00704514051291793,45.0,43.95,361.0,0.51,2.7284502169150096,2.73880272302145,2.8109057178471404,0.0,1.0
17.0,1.0,0.00277680916626414,0.00143853747037114,0.000712122090161222,0.0168358293998508,0.0123139515962384,0.00476083196845006,1.0,0.00277012671066168,0.0014350755966151,0.000710408351850052,0.0167953135862825,0.0122843177863849,0.004749374916000629,1.0,0.0026806060737269697,0.00138869906049349,0.000687450482126411,0.0162525488224992,0.0118873323530785,0.00459589202083713,45.0,44.19,334.0,0.38,2.24254355477452,2.24411754715203,2.3123964775090498,0.0,1.0
824.0,2.3154059240007903,0.0147547371418354,0.00931404545242728,0.00361846897783126,0.0525722811562343,0.0464188508971919,0.0131786388060253,2.2830309000411604,0.0102591728600379,0.00825534699259591,0.0054904033284755,0.0162483794252677,0.0403867569791814,0.0118291236018369,2.32196579936747,0.0125459674473506,0.007560712606475841,0.00466572565171412,0.0479806964368682,0.0502268967686294,0.0147787838323251,45.0,44.05,346.0,0.44,2.47375835125352,2.45838440330855,2.5330810249206,0.0,5.0
1264.0,2.18909100911048,0.021152403198602,0.004394743449560761,0.0070311262963159106,0.0678603252926579,0.0335743130744096,0.0148480900709422,1.77369562041254,0.0128586953271094,0.00701818776293119,0.0064627239201625105,0.0501664002361775,0.0299076329986578,0.0145387211551003,1.609159779135,0.0111205578456193,0.009577471874761559,0.00273778469688302,0.0180059570650165,0.0237507000426118,0.0116428139443409,50.0,49.17,241.0,0.2,1.7638100783096902,1.42448198626379,1.28374435590243,0.0,7.0
97.0,1.0,0.008858341808530559,0.00269574060837013,0.0010032144217114699,0.00811861730626854,0.0181705102263565,0.007470970276186941,1.0,0.0088765271269758,0.00270127470295223,0.00100527392383072,0.008135284041899291,0.0182078125253557,0.007486307455142559,1.0,0.008925301102172779,0.0027161174340651303,0.00101079761623043,0.008179985098563,0.0183078592422529,0.007527442571265209,50.0,49.46,256.0,0.18,1.4733797623860703,1.4895423946976498,1.50027275647663,0.0,1.0
4.0,1.0,0.00298408320537289,0.00230380396618198,0.00053298475130458,0.0193448250283148,0.0140266685761488,0.00402292066376543,1.0,0.00297900363532115,0.00229988238195449,0.000532077493297872,0.0193118958547271,0.0140027920818551,0.00401607276244439,1.0,0.00290221543031166,0.00224059952719417,0.000518362412472908,0.0188141033040796,0.0136418494981208,0.0039125525736943105,45.0,43.91,365.0,0.53,2.81908394578984,2.82750988676006,2.90011632888009,0.0,1.0
1067.0,3.6485665351078396,0.0118931648990885,0.00681081774885009,0.0027352818285077,0.101275356615901,0.0544125200768927,0.0259630573323309,3.2194072637369002,0.00923801586576788,0.00240531528668734,0.0019358647740794102,0.0764288428761297,0.0624330121149305,0.0215391302331572,3.26813823820203,0.0129026705004484,0.0043927480773817895,0.00475672299865825,0.0796249179286554,0.0678318768287352,0.020384726580902998,50.0,49.0,337.0,0.41,2.59976653974539,2.299608585133,2.33325745367463,0.0,6.0
292.0,2.99782886321792,0.00866898612157985,0.00582516166774676,0.00171209595289045,0.0635830600763436,0.0487345212885878,0.0185102495281017,2.97783872133043,0.0117606858383128,0.00829615710715624,0.0021477975406490103,0.0132628430313479,0.0441872955133707,0.0177566167481875,3.05976186722742,0.00747751321495327,0.00678495180799552,0.0025164811821079,0.0626952778823909,0.0511116342788761,0.0181162690335515,47.5,46.7,325.0,0.36,2.13578275714664,2.12287019672521,2.18069354524793,0.0,2.0
244.0,1.0,0.0056457665110936795,0.00155576937069571,0.000503515646625356,0.00358394776255949,0.0168902047589839,0.00543614988732107,1.0,0.0056331960280730795,0.00155230539952016,0.0005023945526385481,0.00357596798613631,0.016852598167971,0.00542404612254055,1.0,0.0055842691370330206,0.00153882291519604,0.000498031025537136,0.00354490906414096,0.0167062256238243,0.00537693579435185,60.0,59.5,245.0,0.14,1.3959185629341102,1.4003497165993402,1.4134831042998701,0.0,1.0
789.0,1.99725049332129,0.0032731464462558302,0.006512296937511121,0.0012791226100113099,0.00456929245253975,0.0360567208493727,0.0128590218374723,1.7665457855997801,0.00997883344690765,0.00705718310738038,0.00257144734905223,0.00705408167297606,0.0351506799270817,0.0133083437376512,1.85443447644314,0.009201695834324071,0.005986290453278671,0.00239039307904171,0.00520487197219759,0.0327458900382784,0.0129171855615162,57.5,56.78,235.0,0.15,1.4821472860421598,1.3114436844855901,1.3734056845884999,0.0,4.0
920.0,4.1002061302362005,0.023564333608959997,0.0167834913947689,0.00453241256347471,0.0694258456133195,0.077432896599222,0.0300931953552637,4.07784302436121,0.0211996039922491,0.0163485505140978,0.0036499736852908704,0.0124380532713652,0.0833139000253549,0.0247203618841757,4.18646093680087,0.0194598148093309,0.0174659905024411,0.0045533213055375206,0.0625235061316567,0.0949053191674871,0.0298234641179909,55.0,53.78,376.0,0.56,3.0669400279346504,3.0407263474975004,3.1127115370014797,0.0,5.0
1119.0,2.79995457084521,0.00894777618523938,0.00936462492249804,0.00422977964511996,0.105990432209346,0.0650116136411728,0.0291549420907752,2.48027233888298,0.00971597808140618,0.0064735100346537,0.004232825521528771,0.0762268080977436,0.0654424625311957,0.0251011502156724,2.5449473891511003,0.0138953802615733,0.00724350736229995,0.0033315104084348,0.0740882180822489,0.0695920153427605,0.021813798008714,55.0,53.85,356.0,0.48,2.9984678761876498,2.6518576117139703,2.69217224476869,0.0,6.0
